"~id","~labels","Address","distance","lan","CaseID","long"
"161","StreetLight","Intersection of 23RD ST and DIAMOND ST",0.007143387040317274,37.757489660621665,3625725,-122.4331067818932
"162","StreetLight","305 CASTRO ST, SAN FRANCISCO, CA, 94114",0.017802906488517376,37.76897024194594,3625799,-122.43740716123436
"163","StreetLight","2215 MARKET ST, SAN FRANCISCO, CA, 94114",0.017231263910017582,37.772173998002806,3642864,-122.42710568020048
"164","StreetLight","Intersection of 16TH ST and MARKET ST",0.01442620089122285,37.76938084519119,3626197,-122.42622472699561
"165","StreetLight","2267 MARKET ST, SAN FRANCISCO, CA, 94114",0.011839202081730203,37.76605318906808,3649374,-122.4223021722242
"166","StreetLight","Intersection of BERKELEY WAY and CRAGS CT",0.013989425446465852,37.74218109033075,3633345,-122.4321290042002
"167","StreetLight","Intersection of CARL ST and COLE ST",0.02870394757342263,37.77461553609062,3618703,-122.44734243067091
"168","StreetLight","Intersection of BUCHANAN ST and MARKET ST",0.023648450353901215,37.77851956038085,3642849,-122.42442497024467
"169","StreetLight","2029 MARKET ST, SAN FRANCISCO, CA, 94114",0.023973117830309306,37.77870851338485,3641651,-122.4231824900834
"170","StreetLight","Intersection of CHURCH ST and JERSEY ST",0.001598254531227362,37.75583504224313,3657774,-122.42776264397236
"171","StreetLight","Intersection of 14TH ST and MARKET ST",0.024048231030687872,37.778137515680534,3633616,-122.42002949810143
"172","StreetLight","983 CHENERY ST, SAN FRANCISCO, CA, 94131",0.01101674184254935,37.74692898414682,3668842,-122.43397328247502
"173","StreetLight","999 CHENERY ST, SAN FRANCISCO, CA, 94131",0.016141695143923506,37.74241922115078,3616355,-122.43659546826055
"174","StreetLight","377 CORBETT AVE, SAN FRANCISCO, CA, 94114",0.02205722400525463,37.768368696055845,3631333,-122.44393843632767
"175","StreetLight","3933 18TH ST, SAN FRANCISCO, CA, 94114",0.013129211485901444,37.76728944910218,3669540,-122.42192623142097
